#Auto Generated Topology File
#Topology Matrix:  10 * 10  Nodes
#Radio Range:  2.0
-n 100 

98   96   -50
98   97   -50
98   99   -50

99   79   -50
99   88   -50
99   89   -50
99   97   -50
99   98   -50

